1, 414201 1 55 6 458;
2, 2281 1 55 36 466;
3, 841 1 57 24 451;
4, 1108 1 59 21 369;
5, 950 1 60 21 293;
6, 571 1 55 16 224;
7, 403 1 52 4 187;
8, 396 1 59 13 244;
9, 340 1 52 13 423;
10, 383 1 60 7 344;
11, 390 1 52 19 441;
12, 410 1 57 18 372;
13, 461 1 52 4 400;
14, 90367 1 59 7 525;
15, 1263 1 59 127 594;
16, 1116 1 57 56 451;
17, 879 1 55 127 441;
18, 881 1 60 113 469;
19, 1354 1 62 6 438;
20, 869 1 59 84 349;
21, 503 1 62 36 171;
22, 311 1 59 71 166;
23, 243 1 62 44 131;
24, 237 1 57 41 -999;
25, 277 1 59 70 -999;
