1, 2521 1 72 113 92;
2, 1012 1 73 115 89;
3, 883 1 74 91 81;
4, 853 1 75 127 2469;
5, 443327 1 65 105 143;
6, 962 1 67 41 70;
7, 243 1 67 79 64;
8, 238 1 67 102 57;
9, 17781 1 84 1 104;
10, 55295 1 71 125 428;
11, 1689 1 74 73 417;
12, 2985 1 67 84 487;
13, 1832 1 69 56 539;
14, 698 1 69 7 54;
15, 1099 1 69 51 230;
16, 959 1 69 79 86;
17, 417150 1 72 91 1221;
18, 3 1 74 1 58;
19, 2363 1 72 113 882;
20, 1802 1 65 102 893;
21, 1753 1 66 58 874;
22, 1746 1 67 127 823;
23, 1748 1 68 105 755;
24, 2015 1 69 70 881;
25, 52675 1 76 75 -999;
