1, 3069 1 60 91 68;
2, 23900 1 60 85 50;
3, 385 1 60 82 42;
4, 372 1 60 82 43;
5, 368 1 60 106 43;
6, 384 1 60 99 42;
7, 14873 1 55 87 79;
8, 615 1 67 89 62;
9, 6937 1 62 2 42;
10, 23181 1 60 30 41;
11, 644 1 60 87 56;
12, 635 1 60 70 43;
13, 653 1 60 35 44;
14, 19320 1 60 70 79;
15, 288 1 60 96 55;
16, 82 1 60 2 42;
17, 236 1 60 123 46;
18, 260 1 60 103 54;
19, 284 1 60 105 40;
20, 270 1 60 102 44;
21, 290299 1 60 6 70;
22, 11594 1 60 89 131;
23, 291067 1 65 7 2934;
24, 347100 1 60 127 100;
25, 452 1 60 97 -999;
